date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:51	107119/107119	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:56%20GMT	https://www.composersunion.ge/siakhle/musikismtsodne-rusudan-wurwumia-tamar-mepis-ordenit-dajildovda.html	I:/OFFWeb/ComPII/ComP/siakhle/musikismtsodne-rusudan-wurwumia-tamar-mepis-ordenit-dajildovda.html	(from https://www.composersunion.ge/)
14:23:52	107120/107120	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:24:05%20GMT	https://www.composersunion.ge/siakhle/musikaluri-almanakhi.html	I:/OFFWeb/ComPII/ComP/siakhle/musikaluri-almanakhi.html	(from https://www.composersunion.ge/)
14:23:52	778536/778536	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2010%20Mar%202021%2017:04:56%20GMT	https://www.composersunion.ge/news/107_2021.03.09_1.jpg	I:/OFFWeb/ComPII/ComP/news/107_2021.03.09_1.jpg	(from https://www.composersunion.ge/)
14:23:52	31888/31888	---M-Z	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2019:27:35%20GMT	https://www.composersunion.ge/news/106_2020.12.15.jpg	I:/OFFWeb/ComPII/ComP/news/106_2020.12.15.jpg	(from https://www.composersunion.ge/)
14:23:53	45092/45092	---M-Z	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2019:23:59%20GMT	https://www.composersunion.ge/news/105_2020.10.25.jpg	I:/OFFWeb/ComPII/ComP/news/105_2020.10.25.jpg	(from https://www.composersunion.ge/)
14:23:53	107120/107120	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:24:06%20GMT	https://www.composersunion.ge/siakhle/kompozitorta-kavshiris-spetsialuri-prizi-qartuli-nawarmoebis-sauketeso-shesrulebistvis-2.html	I:/OFFWeb/ComPII/ComP/siakhle/kompozitorta-kavshiris-spetsialuri-prizi-qartuli-nawarmoebis-sauketeso-shesrulebistvis-2.html	(from https://www.composersunion.ge/)
14:23:55	107586/107586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:24:07%20GMT	https://www.composersunion.ge/siakhle/shori-bavshvoba-medzakhis-titqos-otar-tatishvilis-saiubileo-saghamo.html	I:/OFFWeb/ComPII/ComP/siakhle/shori-bavshvoba-medzakhis-titqos-otar-tatishvilis-saiubileo-saghamo.html	(from https://www.composersunion.ge/)
14:23:55	65103/65103	---M-Z	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2019:12:05%20GMT	https://www.composersunion.ge/news/104_2020.10.10.jpg	I:/OFFWeb/ComPII/ComP/news/104_2020.10.10.jpg	(from https://www.composersunion.ge/)
14:23:56	107586/107586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:24:10%20GMT	https://www.composersunion.ge/siakhle/giorgi-shaverzashvilis-saiubileo-saghamo.html	I:/OFFWeb/ComPII/ComP/siakhle/giorgi-shaverzashvilis-saiubileo-saghamo.html	(from https://www.composersunion.ge/)
14:23:58	61629/61629	---M-Z	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2019:12:46%20GMT	https://www.composersunion.ge/news/103_2020.10.08.jpg	I:/OFFWeb/ComPII/ComP/news/103_2020.10.08.jpg	(from https://www.composersunion.ge/)
